command,pointer,valid,type,channel,head_hex,triple_referenced,triple_sound_indices,direct_source_reference
0,0x008E42,True,1,0,01000000,False,,
1,0x008E5B,True,1,0,01000000,False,,
2,0x008E6D,True,1,0,01000000,False,,
3,0x008E7F,True,1,0,01000000,False,,
4,0x008EE8,True,1,0,01000000,False,,
5,0x008F11,True,1,0,01000000,False,,
6,0x008F32,True,1,0,01000000,False,,
7,0x008F63,True,1,0,01000000,False,,
8,0x008F75,True,1,0,01000000,False,,
9,0xFFFFFF,False,,,,False,,
10,0xFFFFFF,False,,,,False,,
11,0x008F87,True,1,0,01000000,False,,wmania_tune segment A
12,0xFFFFFF,False,,,,False,,
13,0x008E32,True,2,0,0200000b,False,,wmania_tune segment C
14,0xFFFFFF,False,,,,False,,wmania_tune segment B
15,0x008FD8,True,1,0,01000000,False,,
16,0x0090D3,True,1,0,01000000,False,,
17,0x009138,True,1,0,01000000,False,,
18,0x009181,True,1,0,01000000,False,,
19,0xFFFFFF,False,,,,False,,
20,0xFFFFFF,False,,,,False,,
21,0xFFFFFF,False,,,,False,,
22,0xFFFFFF,False,,,,False,,
23,0xFFFFFF,False,,,,False,,
24,0xFFFFFF,False,,,,False,,
25,0x009204,True,1,0,01000000,False,,
26,0x0092C9,True,1,0,01000000,False,,
27,0x00937A,True,1,0,01000000,False,,
28,0x008E36,True,2,0,0200001a,False,,
29,0x008E3A,True,2,0,0200001b,False,,
30,0x008E3E,True,2,0,02000012,False,,
31,0xFFFFFF,False,,,,False,,
32,0xFFFFFF,False,,,,False,,
33,0xFFFFFF,False,,,,False,,
34,0xFFFFFF,False,,,,False,,
35,0xFFFFFF,False,,,,False,,
36,0xFFFFFF,False,,,,False,,
37,0xFFFFFF,False,,,,False,,
38,0xFFFFFF,False,,,,False,,
39,0xFFFFFF,False,,,,False,,
40,0xFFFFFF,False,,,,False,,
41,0xFFFFFF,False,,,,False,,
42,0xFFFFFF,False,,,,False,,
43,0xFFFFFF,False,,,,False,,
44,0xFFFFFF,False,,,,False,,
45,0xFFFFFF,False,,,,False,,
46,0xFFFFFF,False,,,,False,,
47,0xFFFFFF,False,,,,False,,
48,0xFFFFFF,False,,,,False,,
49,0xFFFFFF,False,,,,False,,
50,0xFFFFFF,False,,,,False,,
51,0xFFFFFF,False,,,,False,,
52,0xFFFFFF,False,,,,False,,
53,0xFFFFFF,False,,,,False,,
54,0xFFFFFF,False,,,,False,,
55,0xFFFFFF,False,,,,False,,
56,0xFFFFFF,False,,,,False,,
57,0xFFFFFF,False,,,,False,,
58,0xFFFFFF,False,,,,False,,
59,0xFFFFFF,False,,,,False,,
60,0xFFFFFF,False,,,,False,,
61,0xFFFFFF,False,,,,False,,
62,0xFFFFFF,False,,,,False,,
63,0xFFFFFF,False,,,,False,,
64,0x00938C,True,1,1,01010001,False,,
65,0x009391,True,1,2,01020001,False,,
66,0x009396,True,1,3,01030001,False,,
67,0x00939B,True,1,4,01040001,False,,
68,0xFFFFFF,False,,,,False,,
69,0xFFFFFF,False,,,,False,,
