command,pointer,triple_sound_indices,direct_source_reference
14,0xFFFFFF,,wmania_tune segment B
264,0xFFFFFF,026,
280,0xFFFFFF,02A,
284,0xFFFFFF,02B,
304,0xFFFFFF,030,
308,0xFFFFFF,031,
335,0xFFFFFF,0B3,
528,0xFFFFFF,051,
536,0xFFFFFF,053,
540,0xFFFFFF,054,
640,0xFFFFFF,060,
656,0xFFFFFF,064,
789,0xFFFFFF,0B0,
1048,0xFFFFFF,086,
1051,0xFFFFFF,087,
1054,0xFFFFFF,088,
1066,0xFFFFFF,08C,
1069,0xFFFFFF,08D,
1072,0xFFFFFF,08E,
1075,0xFFFFFF,08F 090,
1078,0xFFFFFF,091,
1132,0xFFFFFF,075,
1364,0xFFFFFF,0B7,
1368,0xFFFFFF,0B8,
1440,0xFFFFFF,044,
1528,0xFFFFFF,07D,
1536,0xFFFFFF,07E,
1544,0xFFFFFF,07F,
1552,0xFFFFFF,080,
3340,0xFFFFFF,14D,
3380,0xFFFFFF,140,
3528,0xFFFFFF,137,
3692,0xFFFFFF,172,
3696,0xFFFFFF,173,
3700,0xFFFFFF,174,
3704,0xFFFFFF,175,
3708,0xFFFFFF,176,
3712,0xFFFFFF,177,
3716,0xFFFFFF,178,
3720,0xFFFFFF,179,
3804,0xFFFFFF,18E,
4544,0xFFFFFF,209,
4588,0xFFFFFF,214,
