command,track_pointer,track_type,track_channel,triple_sound_indices,direct_source_reference,stream_count,unique_stream_count,stream_addresses_hex,stream_frames,stream_durations_seconds,opcode_sequence_hex,simple_single_stream_program
11,0x008F87,1,0,,wmania_tune segment A,6,3,0x0A9E7A 0x0A9E7A 0x0ADC9E 0x0A9E7A 0x0A9E7A 0x0AEDCE,279 279 72 279 279 105,2.142720 2.142720 0.552960 2.142720 2.142720 0.806400,07 0E 05 01 05 01 01 05 01 05 01 01 0F 00,False
13,0x008E32,2,0,,wmania_tune segment C,0,0,,,,,False
128,0x0094CA,1,1,001,,1,1,0x34C1DC,40,0.307200,07 09 01 0B 00,True
132,0x009542,1,1,002,,1,1,0x34C7BE,33,0.253440,07 09 01 0B 00,True
136,0x0095BA,1,1,004,,1,1,0x318A02,34,0.261120,07 01 00,True
140,0x009602,1,1,005,,1,1,0x318F1C,41,0.314880,07 09 01 0B 00,True
144,0x00967A,1,1,006,,1,1,0x3889A8,34,0.261120,07 09 01 0B 00,True
148,0x0096F2,1,1,007,,1,1,0x388E36,31,0.238080,07 01 00,True
152,0x00973A,1,1,008,,1,1,0x3892C2,35,0.268800,07 01 00,True
156,0x009782,1,1,009,,1,1,0x34CCD6,31,0.238080,07 09 01 0B 00,True
160,0x0097FA,1,1,04E,,1,1,0x0196BE,220,1.689600,07 01 00,True
164,0x0097FA,1,1,04F,,1,1,0x0196BE,220,1.689600,07 01 00,True
168,0x009842,1,1,00E,,1,1,0x39172C,35,0.268800,07 09 01 0B 00,True
172,0x0098BA,1,1,00F,,1,1,0x2947AA,37,0.284160,07 09 01 0B 00,True
176,0x009932,1,1,010 035 040,,1,1,0x294D12,39,0.299520,07 09 01 0B 00,True
180,0x0099AA,1,1,011,,1,1,0x391BA2,29,0.222720,07 09 01 0B 00,True
184,0x009A22,1,1,012,,1,1,0x39205A,42,0.322560,07 09 01 0B 00,True
188,0x009A9A,1,1,013,,1,1,0x29524A,46,0.353280,07 09 01 0B 00,True
192,0x009A9A,1,1,014,,1,1,0x29524A,46,0.353280,07 09 01 0B 00,True
196,0x009B12,1,1,015,,1,1,0x3924FE,38,0.291840,07 09 01 0B 00,True
200,0x009B8A,1,1,016,,1,1,0x392A20,30,0.230400,07 09 01 0B 00,True
204,0x009C02,1,1,017,,1,1,0x392DEC,32,0.245760,07 09 01 0B 00,True
208,0x009C7A,1,1,018 0DD,,1,1,0x260522,46,0.353280,07 09 01 0B 00,True
212,0x009CF2,1,1,019,,1,1,0x36155A,26,0.199680,07 09 01 0B 00,True
216,0x009D6A,1,1,01A,,1,1,0x36192A,50,0.384000,07 09 01 0B 00,True
220,0x009DE2,1,1,01B 034,,1,1,0x18101A,56,0.430080,07 09 01 0B 00,True
224,0x009E5A,1,1,01C,,1,1,0x260BAA,46,0.353280,07 09 01 0B 00,True
228,0x009ED2,1,1,01D,,1,1,0x01CB32,72,0.552960,07 09 09 09 09 01 0B 0B 0B 0B 00,True
232,0x009FDA,1,1,01E 0A8,,1,1,0x0D13A8,505,3.878400,07 01 00,True
236,0x00A022,1,1,01F 033,,1,1,0x0C21CE,120,0.921600,07 09 01 0B 00,True
240,0x00A202,1,1,020,,1,1,0x294134,66,0.506880,07 01 00,True
244,0x00A09A,1,1,021 0CB,,1,1,0x25C700,129,0.990720,07 09 01 0B 00,True
248,0x00A112,1,1,022 0CC,,1,1,0x17D066,135,1.036800,07 09 01 0B 00,True
252,0x00A24A,1,1,023,,1,1,0x1B476E,100,0.768000,07 01 00,True
256,0x00A24A,1,1,024,,1,1,0x1B476E,100,0.768000,07 01 00,True
260,0x00A18A,1,1,025 037,,1,1,0x1CE6CE,172,1.320960,07 09 01 0B 00,True
268,0x00A202,1,1,027,,1,1,0x294134,66,0.506880,07 01 00,True
272,0x00A202,1,1,028,,1,1,0x294134,66,0.506880,07 01 00,True
276,0x00A24A,1,1,029,,1,1,0x1B476E,100,0.768000,07 01 00,True
288,0x00A292,1,1,02C,,1,1,0x3A32D0,38,0.291840,07 01 00,True
292,0x00A2DA,1,1,02D,,1,1,0x29B696,62,0.476160,07 01 00,True
296,0x00A292,1,1,02E,,1,1,0x3A32D0,38,0.291840,07 01 00,True
300,0x00A2DA,1,1,02F,,1,1,0x29B696,62,0.476160,07 01 00,True
312,0x00A322,1,1,032,,1,1,0x3A368E,55,0.422400,07 01 00,True
316,0x00A36A,1,1,0C0,,1,1,0x29691C,93,0.714240,07 09 01 0B 00,True
320,0x00A3E2,1,1,0C2,,1,1,0x296F94,62,0.476160,07 09 01 0B 00,True
324,0x00A45A,1,1,0CD,,1,1,0x10000E,214,1.643520,07 09 01 0B 00,True
328,0x00A4D2,1,1,0B1,,1,1,0x1BA7CC,213,1.635840,07 01 00,True
344,0x00A51A,1,1,0B4,,1,1,0x118B68,110,0.844800,07 09 01 0B 00,True
348,0x00A592,1,1,0AC,,1,1,0x319384,94,0.721920,07 09 01 0B 00,True
352,0x00A60A,1,1,0B2,,1,1,0x362038,45,0.345600,07 09 01 0B 00,True
360,0x00A682,1,1,0AA,,1,1,0x0B071C,94,0.721920,07 09 01 0B 00,True
368,0x00A772,1,1,0AD,,1,1,0x064846,138,1.059840,07 09 01 0B 00,True
376,0x00A832,1,1,0B6,,1,1,0x2B3914,81,0.622080,07 01 00,True
380,0x00A6FA,1,1,0BE,,1,1,0x067C44,49,0.376320,07 09 01 0B 00,True
408,0x00A87A,1,1,03D,,1,1,0x29585A,148,1.136640,07 09 01 0B 00,True
412,0x00A8F2,1,1,00B,,1,1,0x3931CA,125,0.960000,07 09 01 0B 00,True
416,0x00A96A,1,1,00C,,1,1,0x2975A8,113,0.867840,07 09 01 0B 00,True
424,0x00AA5A,1,1,00D,,1,1,0x298054,92,0.706560,07 09 01 0B 00,True
428,0x00AAD2,1,1,046,,1,1,0x3942EC,26,0.199680,07 01 00,True
432,0x00AB1A,1,1,047,,1,1,0x3944FA,34,0.261120,07 01 00,True
434,0x00AB3E,1,3,0B5,,1,1,0x3944FA,34,0.261120,07 01 00,True
460,0x00ABDA,1,1,00A,,1,1,0x2B4DB6,16,0.122880,07 01 00,True
464,0x00AC22,1,1,098,,1,1,0x0683B6,57,0.437760,07 09 09 09 09 01 0B 0B 0B 0B 00,True
468,0x00938C,1,1,0D7,,0,0,,,,00,False
472,0x00938C,1,1,0D8,,0,0,,,,00,False
476,0x00938C,1,1,0D9,,0,0,,,,00,False
480,0x00AD2A,1,1,0DA,,1,1,0x395D40,42,0.322560,07 01 00,True
484,0x00938C,1,1,0DB,,0,0,,,,00,False
488,0x00938C,1,1,0DC,,0,0,,,,00,False
524,0x00AE02,1,1,050,,1,1,0x134B6C,125,0.960000,07 01 00,True
544,0x00AE4A,1,1,055,,1,1,0x1279B2,334,2.565120,07 01 00,True
548,0x00AE4A,1,1,056,,1,1,0x1279B2,334,2.565120,07 01 00,True
552,0x00AE92,1,1,057,,1,1,0x32EA0A,293,2.250240,07 01 00,True
556,0x00AE92,1,1,058,,1,1,0x32EA0A,293,2.250240,07 01 00,True
560,0x00AEDA,1,1,059,,1,1,0x343AFA,216,1.658880,07 01 00,True
564,0x019646,1,1,282,,1,1,0x3877AE,155,1.190400,07 09 01 0B 00,True
568,0x00AF22,1,1,283,,1,1,0x31AAA2,266,2.042880,07 01 00,True
572,0x00AF6A,1,1,284,,1,1,0x31A080,94,0.721920,07 01 00,True
576,0x00AFB2,1,1,285,,1,1,0x3A2348,148,1.136640,07 01 00,True
