address,stream_channel,repeat,frames,chip,chip_offset
104126,1,1,220,2,104126
111954,1,1,60,2,111954
117554,1,1,72,2,117554
411718,1,1,138,2,411718
415332,1,1,158,2,415332
425028,1,1,49,2,425028
426934,1,1,57,2,426934
431832,1,1,340,2,431832
695930,0,1,279,2,695930
711838,0,1,72,2,711838
716238,0,1,105,2,716238
722716,1,1,94,2,722716
725574,1,4,14,2,725574
726374,1,1,386,2,726374
739284,1,1,86,2,739284
742804,1,1,30,2,742804
744454,1,1,252,2,744454
757116,1,3,56,2,757116
759988,1,1,35,2,759988
761266,1,1,15,2,761266
761834,1,1,504,2,761834
781716,1,1,167,2,781716
788774,1,1,136,2,788774
795086,1,1,120,2,795086
857000,1,1,505,2,857000
1002762,1,1,53,2,1002762
1006444,1,1,146,2,1006444
1048590,1,1,214,3,14
1055624,1,1,158,3,7048
1059338,1,1,86,3,10762
1061210,1,1,558,3,12634
1086912,1,1,105,3,38336
1089348,1,1,152,3,40772
1093150,1,1,166,3,44574
1097292,1,1,132,3,48716
1100874,1,1,70,3,52298
1102844,1,1,72,3,54268
1104724,1,1,69,3,56148
1106560,1,1,79,3,57984
1108584,1,1,102,3,60008
1111384,1,1,100,3,62808
1113792,1,1,108,3,65216
1149800,1,1,110,3,101224
1166982,1,1,125,3,118406
1191420,2,1,115,3,142844
1194666,1,1,189,3,146090
1204068,1,1,94,3,155492
1206620,1,1,159,3,158044
1210802,1,1,334,3,162226
1218406,1,1,175,3,169830
1223088,1,1,129,3,174512
1226564,1,1,138,3,177988
1230138,1,1,245,3,181562
1236794,1,1,107,3,188218
1239724,1,1,168,3,191148
1244072,1,1,94,3,195496
1246476,1,1,156,3,197900
1256584,1,1,117,3,208008
1259790,1,1,85,3,211214
1261792,1,1,117,3,213216
1264492,1,1,125,3,215916
1267582,1,1,63,3,219006
1269342,1,1,77,3,220766
1271196,1,1,109,3,222620
1273866,1,1,104,3,225290
1276820,1,1,66,3,228244
1278628,1,1,151,3,230052
1282112,1,1,90,3,233536
1284144,1,1,284,3,235568
1290584,1,1,106,3,242008
1293508,1,1,202,3,244932
1298930,1,1,206,3,250354
1305696,1,1,176,3,257120
1315832,1,1,129,3,267256
1560678,1,1,135,3,512102
1569988,1,1,310,3,521412
1576986,1,1,56,3,528410
1579244,1,1,456,3,530668
1590070,1,1,272,3,541494
1598510,1,1,90,3,549934
1600876,1,1,139,3,552300
1604990,1,1,143,3,556414
1609280,1,1,115,3,560704
1612566,1,1,130,3,563990
1616708,1,1,124,3,568132
1620364,1,1,103,3,571788
1622968,1,1,108,3,574392
1626110,1,1,125,3,577534
1632474,1,1,108,3,583898
1635496,1,1,101,3,586920
1638572,1,1,333,3,589996
1648650,1,1,157,3,600074
1653668,1,1,165,3,605092
1658710,1,1,111,3,610134
1661642,1,1,126,3,613066
1665390,1,1,140,3,616814
1668908,1,1,91,3,620332
1671350,1,1,157,3,622774
1675712,1,1,154,3,627136
1680004,1,1,213,3,631428
1686348,1,1,137,3,637772
1690112,1,1,121,3,641536
1693882,1,1,121,3,645306
1697332,1,1,127,3,648756
1700556,1,1,134,3,651980
1704052,1,1,147,3,655476
1708478,1,1,113,3,659902
1711454,1,1,124,3,662878
1714786,1,1,250,3,666210
1722710,1,1,126,3,674134
1725820,1,1,175,3,677244
1730024,1,1,129,3,681448
1733770,1,1,178,3,685194
1739040,1,1,115,3,690464
1742154,1,1,231,3,693578
1751808,1,1,159,3,703232
1755790,1,1,94,3,707214
1758232,1,1,284,3,709656
1765770,1,1,378,3,717194
1776956,1,1,207,3,728380
1787758,1,1,100,3,739182
1812428,1,1,213,3,763852
1819216,1,1,224,3,770640
1823312,1,1,95,3,774736
1825500,1,1,315,3,776924
1874724,1,1,337,3,826148
1887208,1,1,146,3,838632
1894094,1,1,172,3,845518
1901852,1,1,73,3,853276
1903582,1,1,204,3,855006
1908710,1,1,294,3,860134
1915704,1,1,132,3,867128
1918902,1,1,115,3,870326
1921662,1,1,152,3,873086
1925352,1,1,303,3,876776
1932286,1,1,321,3,883710
1939692,1,1,102,3,891116
1942060,1,1,593,3,893484
1954886,1,1,323,3,906310
1962560,1,1,131,3,913984
1965532,1,1,294,3,916956
1972238,1,1,219,3,923662
1977332,1,1,122,3,928756
1980024,1,1,225,3,931448
1985130,1,1,113,3,936554
1987704,1,1,180,3,939128
1991872,1,1,153,3,943296
1995638,1,1,249,3,947062
2001226,1,1,217,3,952650
2006150,1,1,229,3,957574
2011408,1,1,255,3,962832
2018290,1,1,71,3,969714
2020112,1,1,100,3,971536
2022374,1,1,209,3,973798
2026788,1,1,151,3,978212
2030156,1,1,190,3,981580
2034768,1,1,78,3,986192
2036534,1,1,120,3,987958
2039254,1,1,139,3,990678
2042354,1,1,126,3,993778
2045220,1,1,191,3,996644
2049418,1,1,414,3,1000842
2059080,1,1,110,3,1010504
2061412,1,1,130,3,1012836
2064044,1,1,139,3,1015468
2067336,1,1,157,3,1018760
2070780,1,1,199,3,1022204
2075402,1,1,65,3,1026826
2077102,1,1,298,3,1028526
2097166,1,2,129,4,14
2099704,1,1,117,4,2552
2108732,1,1,246,4,11580
2114052,1,1,350,4,16900
2199550,1,1,117,4,102398
2201938,1,1,111,4,104786
2204438,1,1,129,4,107286
2208192,1,1,76,4,111040
2210158,1,1,145,4,113006
2212892,1,1,72,4,115740
2214440,1,1,117,4,117288
2217614,1,1,81,4,120462
2219400,1,1,71,4,122248
2221142,1,1,64,4,123990
2222646,1,1,65,4,125494
2224260,1,1,65,4,127108
2225710,1,1,83,4,128558
2227852,1,1,58,4,130700
2229298,1,1,68,4,132146
2230746,1,1,107,4,133594
2233344,1,1,150,4,136192
2237052,1,1,146,4,139900
2240270,1,1,104,4,143118
2243186,1,1,69,4,146034
2244674,1,1,263,4,147522
2251274,1,1,59,4,154122
2256798,1,1,221,4,159646
2272780,1,1,241,4,175628
2301472,1,1,68,4,204320
2303038,1,1,63,4,205886
2304508,1,1,180,4,207356
