command,pointer,valid,type,channel,triple_sound_indices,direct_source_reference
11,0x008F87,True,1,0,,wmania_tune segment A
13,0x008E32,True,2,0,,wmania_tune segment C
14,0xFFFFFF,False,,,,wmania_tune segment B
128,0x0094CA,True,1,1,001,
132,0x009542,True,1,1,002,
136,0x0095BA,True,1,1,004,
140,0x009602,True,1,1,005,
144,0x00967A,True,1,1,006,
148,0x0096F2,True,1,1,007,
152,0x00973A,True,1,1,008,
156,0x009782,True,1,1,009,
160,0x0097FA,True,1,1,04E,
164,0x0097FA,True,1,1,04F,
168,0x009842,True,1,1,00E,
172,0x0098BA,True,1,1,00F,
176,0x009932,True,1,1,010 035 040,
180,0x0099AA,True,1,1,011,
184,0x009A22,True,1,1,012,
188,0x009A9A,True,1,1,013,
192,0x009A9A,True,1,1,014,
196,0x009B12,True,1,1,015,
200,0x009B8A,True,1,1,016,
204,0x009C02,True,1,1,017,
208,0x009C7A,True,1,1,018 0DD,
212,0x009CF2,True,1,1,019,
216,0x009D6A,True,1,1,01A,
220,0x009DE2,True,1,1,01B 034,
224,0x009E5A,True,1,1,01C,
228,0x009ED2,True,1,1,01D,
232,0x009FDA,True,1,1,01E 0A8,
236,0x00A022,True,1,1,01F 033,
240,0x00A202,True,1,1,020,
244,0x00A09A,True,1,1,021 0CB,
248,0x00A112,True,1,1,022 0CC,
252,0x00A24A,True,1,1,023,
256,0x00A24A,True,1,1,024,
260,0x00A18A,True,1,1,025 037,
264,0xFFFFFF,False,,,026,
268,0x00A202,True,1,1,027,
272,0x00A202,True,1,1,028,
276,0x00A24A,True,1,1,029,
280,0xFFFFFF,False,,,02A,
284,0xFFFFFF,False,,,02B,
288,0x00A292,True,1,1,02C,
292,0x00A2DA,True,1,1,02D,
296,0x00A292,True,1,1,02E,
300,0x00A2DA,True,1,1,02F,
304,0xFFFFFF,False,,,030,
308,0xFFFFFF,False,,,031,
312,0x00A322,True,1,1,032,
316,0x00A36A,True,1,1,0C0,
320,0x00A3E2,True,1,1,0C2,
324,0x00A45A,True,1,1,0CD,
328,0x00A4D2,True,1,1,0B1,
335,0xFFFFFF,False,,,0B3,
344,0x00A51A,True,1,1,0B4,
348,0x00A592,True,1,1,0AC,
352,0x00A60A,True,1,1,0B2,
360,0x00A682,True,1,1,0AA,
368,0x00A772,True,1,1,0AD,
376,0x00A832,True,1,1,0B6,
380,0x00A6FA,True,1,1,0BE,
408,0x00A87A,True,1,1,03D,
412,0x00A8F2,True,1,1,00B,
416,0x00A96A,True,1,1,00C,
424,0x00AA5A,True,1,1,00D,
428,0x00AAD2,True,1,1,046,
432,0x00AB1A,True,1,1,047,
434,0x00AB3E,True,1,3,0B5,
460,0x00ABDA,True,1,1,00A,
464,0x00AC22,True,1,1,098,
468,0x00938C,True,1,1,0D7,
472,0x00938C,True,1,1,0D8,
476,0x00938C,True,1,1,0D9,
480,0x00AD2A,True,1,1,0DA,
484,0x00938C,True,1,1,0DB,
488,0x00938C,True,1,1,0DC,
524,0x00AE02,True,1,1,050,
528,0xFFFFFF,False,,,051,
536,0xFFFFFF,False,,,053,
540,0xFFFFFF,False,,,054,
544,0x00AE4A,True,1,1,055,
548,0x00AE4A,True,1,1,056,
552,0x00AE92,True,1,1,057,
556,0x00AE92,True,1,1,058,
560,0x00AEDA,True,1,1,059,
564,0x019646,True,1,1,282,
568,0x00AF22,True,1,1,283,
572,0x00AF6A,True,1,1,284,
576,0x00AFB2,True,1,1,285,
580,0x00AFFA,True,1,1,286,
584,0x00B042,True,1,1,287,
588,0x00B08A,True,1,1,0D3,
592,0x00B0D2,True,1,1,0D4,
596,0x00B11A,True,1,1,0D5,
600,0x00B162,True,1,1,0D6,
640,0xFFFFFF,False,,,060,
644,0x00B1AA,True,1,1,061,
648,0x00B212,True,1,1,062,
652,0x00B25A,True,1,1,063,
656,0xFFFFFF,False,,,064,
768,0x00B2A2,True,1,1,05A,
772,0x00B2EA,True,1,1,05B,
789,0xFFFFFF,False,,,0B0,
900,0x00B352,True,1,1,066,
904,0x00B39A,True,1,1,042 067,
908,0x00B39A,True,1,1,068,
912,0x00B402,True,1,1,069,
916,0x00B44A,True,1,1,06A,
920,0x00B492,True,1,1,06B,
932,0x00B4DA,True,1,1,06E,
936,0x00B522,True,1,1,06F,
994,0x00B629,True,1,1,,stop channel 1
995,0x00B62E,True,1,2,,stop channel 2
996,0x00B633,True,1,3,,stop channel 3
997,0x00B638,True,1,4,,stop channel 4
1045,0x00B6EE,True,1,2,085,
1048,0xFFFFFF,False,,,086,
1051,0xFFFFFF,False,,,087,
1054,0xFFFFFF,False,,,088,
1057,0x00B6EE,True,1,2,089,
1060,0x00B724,True,1,1,08A,
1063,0x00B75A,True,1,4,08B,
1066,0xFFFFFF,False,,,08C,
1069,0xFFFFFF,False,,,08D,
1072,0xFFFFFF,False,,,08E,
1075,0xFFFFFF,False,,,08F 090,
1078,0xFFFFFF,False,,,091,
1081,0x00B77E,True,1,2,092,
1084,0x00B76C,True,1,1,093,
1087,0x00B7A2,True,1,4,094,
1116,0x00B7B4,True,1,1,071,
1120,0x00B82C,True,1,1,072,
1124,0x00B8A4,True,1,1,073,
1128,0x00B8A4,True,1,1,074,
1132,0xFFFFFF,False,,,075,
1148,0x00B91C,True,1,1,079,
1160,0x00B964,True,1,1,07C,
1180,0x00BA54,True,1,1,0CE,
1184,0x00BACC,True,1,1,0CF,
1188,0x00BB14,True,1,1,0D0,
1192,0x00BB8C,True,1,1,0D1,
1196,0x00BC04,True,1,1,082,
1208,0x00BC94,True,1,1,0D2,
1220,0x00BE5C,True,1,1,0AE,
1224,0x00BED4,True,1,1,0AF,
1228,0x00BF4C,True,1,1,099,
1232,0x00BFC4,True,1,1,09A,
1236,0x00C03C,True,1,1,041 0AB,
1240,0x00C0B4,True,1,1,09C,
1244,0x00C12C,True,1,1,09D,
1248,0x00C1A4,True,1,1,09E,
1252,0x00C21C,True,1,1,09F,
1256,0x00C12C,True,1,1,0A0,
1260,0x00C1A4,True,1,1,0A1,
1264,0x00938C,True,1,1,0A2,
1268,0x00C294,True,1,1,0A3,
1280,0x00C30C,True,1,1,076 0BF,
1284,0x00C384,True,1,1,03C,
1288,0x00C3CC,True,1,1,077 0A5 0C1,
1296,0x00C444,True,1,1,078 0C3,
1304,0x00C4BC,True,1,1,0C5,
1364,0xFFFFFF,False,,,0B7,
1368,0xFFFFFF,False,,,0B8,
1376,0x00C534,True,1,1,048,
1436,0x00C5AC,True,1,1,043,
1440,0xFFFFFF,False,,,044,
1444,0x00C624,True,1,1,045,
1448,0x00C69C,True,1,1,03E,
1452,0x00C714,True,1,1,03F,
1456,0x00C75C,True,1,1,0C7,
1460,0x00C7A4,True,1,1,0C8,
1472,0x00C7EC,True,1,1,0BC,
1476,0x00C834,True,1,1,0BD,
1480,0x00C87C,True,1,1,003,
1484,0x00C8C4,True,1,1,0B9,
1488,0x00C90C,True,1,1,0BA,
1492,0x00C954,True,1,1,09B,
1512,0x00CA5C,True,1,1,049,
1516,0x00CAA4,True,1,1,0C4,
1520,0x00CAEC,True,1,1,0BB,
1528,0xFFFFFF,False,,,07D,
1536,0xFFFFFF,False,,,07E,
1544,0xFFFFFF,False,,,07F,
1552,0xFFFFFF,False,,,080,
1556,0x00CB34,True,1,1,04A,
