triple_sound_index_hex,triple_sound_index_dec,dcs_command,command_valid_in_wwf_l1
000,0,0,True
001,1,128,True
002,2,132,True
003,3,1480,True
004,4,136,True
005,5,140,True
006,6,144,True
007,7,148,True
008,8,152,True
009,9,156,True
00A,10,460,True
00B,11,412,True
00C,12,416,True
00D,13,424,True
00E,14,168,True
00F,15,172,True
010,16,176,True
011,17,180,True
012,18,184,True
013,19,188,True
014,20,192,True
015,21,196,True
016,22,200,True
017,23,204,True
018,24,208,True
019,25,212,True
01A,26,216,True
01B,27,220,True
01C,28,224,True
01D,29,228,True
01E,30,232,True
01F,31,236,True
020,32,240,True
021,33,244,True
022,34,248,True
023,35,252,True
024,36,256,True
025,37,260,True
026,38,264,False
027,39,268,True
028,40,272,True
029,41,276,True
02A,42,280,False
02B,43,284,False
02C,44,288,True
02D,45,292,True
02E,46,296,True
02F,47,300,True
030,48,304,False
031,49,308,False
032,50,312,True
033,51,236,True
034,52,220,True
035,53,176,True
036,54,0,True
037,55,260,True
038,56,0,True
039,57,1616,True
03A,58,0,True
03B,59,0,True
03C,60,1284,True
03D,61,408,True
03E,62,1448,True
03F,63,1452,True
040,64,176,True
041,65,1236,True
042,66,904,True
043,67,1436,True
044,68,1440,False
045,69,1444,True
046,70,428,True
047,71,432,True
048,72,1376,True
049,73,1512,True
04A,74,1556,True
04B,75,1560,True
04C,76,1564,True
04D,77,1568,True
04E,78,160,True
04F,79,164,True
050,80,524,True
051,81,528,False
052,82,0,True
053,83,536,False
054,84,540,False
055,85,544,True
056,86,548,True
057,87,552,True
058,88,556,True
059,89,560,True
05A,90,768,True
05B,91,772,True
05C,92,0,True
05D,93,0,True
05E,94,0,True
05F,95,0,True
060,96,640,False
061,97,644,True
062,98,648,True
063,99,652,True
064,100,656,False
065,101,0,True
066,102,900,True
067,103,904,True
068,104,908,True
069,105,912,True
06A,106,916,True
06B,107,920,True
06C,108,0,True
06D,109,0,True
06E,110,932,True
06F,111,936,True
070,112,0,True
071,113,1116,True
072,114,1120,True
073,115,1124,True
074,116,1128,True
075,117,1132,False
076,118,1280,True
077,119,1288,True
078,120,1296,True
079,121,1148,True
07A,122,0,True
07B,123,0,True
07C,124,1160,True
07D,125,1528,False
07E,126,1536,False
07F,127,1544,False
080,128,1552,False
081,129,0,True
082,130,1196,True
083,131,0,True
084,132,0,True
085,133,1045,True
086,134,1048,False
087,135,1051,False
088,136,1054,False
089,137,1057,True
08A,138,1060,True
