triple_sound_index_hex,triple_sound_index_dec,dcs_command,valid,track_pointer
000,0,0,True,0x008E42
001,1,128,True,0x0094CA
002,2,132,True,0x009542
003,3,1480,True,0x00C87C
004,4,136,True,0x0095BA
005,5,140,True,0x009602
006,6,144,True,0x00967A
007,7,148,True,0x0096F2
008,8,152,True,0x00973A
009,9,156,True,0x009782
00A,10,460,True,0x00ABDA
00B,11,412,True,0x00A8F2
00C,12,416,True,0x00A96A
00D,13,424,True,0x00AA5A
00E,14,168,True,0x009842
00F,15,172,True,0x0098BA
010,16,176,True,0x009932
011,17,180,True,0x0099AA
012,18,184,True,0x009A22
013,19,188,True,0x009A9A
014,20,192,True,0x009A9A
015,21,196,True,0x009B12
016,22,200,True,0x009B8A
017,23,204,True,0x009C02
018,24,208,True,0x009C7A
019,25,212,True,0x009CF2
01A,26,216,True,0x009D6A
01B,27,220,True,0x009DE2
01C,28,224,True,0x009E5A
01D,29,228,True,0x009ED2
01E,30,232,True,0x009FDA
01F,31,236,True,0x00A022
020,32,240,True,0x00A202
021,33,244,True,0x00A09A
022,34,248,True,0x00A112
023,35,252,True,0x00A24A
024,36,256,True,0x00A24A
025,37,260,True,0x00A18A
026,38,264,False,0xFFFFFF
027,39,268,True,0x00A202
028,40,272,True,0x00A202
029,41,276,True,0x00A24A
02A,42,280,False,0xFFFFFF
02B,43,284,False,0xFFFFFF
02C,44,288,True,0x00A292
02D,45,292,True,0x00A2DA
02E,46,296,True,0x00A292
02F,47,300,True,0x00A2DA
030,48,304,False,0xFFFFFF
031,49,308,False,0xFFFFFF
032,50,312,True,0x00A322
033,51,236,True,0x00A022
034,52,220,True,0x009DE2
035,53,176,True,0x009932
036,54,0,True,0x008E42
037,55,260,True,0x00A18A
038,56,0,True,0x008E42
039,57,1616,True,0x00CEAC
03A,58,0,True,0x008E42
03B,59,0,True,0x008E42
03C,60,1284,True,0x00C384
03D,61,408,True,0x00A87A
03E,62,1448,True,0x00C69C
03F,63,1452,True,0x00C714
040,64,176,True,0x009932
041,65,1236,True,0x00C03C
042,66,904,True,0x00B39A
043,67,1436,True,0x00C5AC
044,68,1440,False,0xFFFFFF
045,69,1444,True,0x00C624
046,70,428,True,0x00AAD2
047,71,432,True,0x00AB1A
048,72,1376,True,0x00C534
049,73,1512,True,0x00CA5C
04A,74,1556,True,0x00CB34
04B,75,1560,True,0x00CB7C
04C,76,1564,True,0x00CBC4
04D,77,1568,True,0x00CC0C
04E,78,160,True,0x0097FA
04F,79,164,True,0x0097FA
050,80,524,True,0x00AE02
051,81,528,False,0xFFFFFF
052,82,0,True,0x008E42
053,83,536,False,0xFFFFFF
054,84,540,False,0xFFFFFF
055,85,544,True,0x00AE4A
